TOP 5:
word:           press; TF: 0.000039; IDF: 0.336472; TF-IDF: 0.000013
word:          beside; TF: 0.000196; IDF: 0.559616; TF-IDF: 0.000110
word:         granted; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:          pushed; TF: 0.000470; IDF: 0.241162; TF-IDF: 0.000113
word:         coughed; TF: 0.000039; IDF: 0.847298; TF-IDF: 0.000033
word:          length; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:     appropriate; TF: 0.000039; IDF: 1.029619; TF-IDF: 0.000040
word:       wallpaper; TF: 0.000039; IDF: 2.639057; TF-IDF: 0.000103
word:          future; TF: 0.000274; IDF: 0.074108; TF-IDF: 0.000020
word:            chin; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:      complaints; TF: 0.000039; IDF: 0.559616; TF-IDF: 0.000022
word:          called; TF: 0.000548; IDF: 0.074108; TF-IDF: 0.000041
word:      reproaches; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:        properly; TF: 0.000118; IDF: 0.336472; TF-IDF: 0.000040
word:            anew; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:        entrance; TF: 0.000157; IDF: 0.154151; TF-IDF: 0.000024
word:      attributed; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:         elastic; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:         mumbled; TF: 0.000039; IDF: 1.029619; TF-IDF: 0.000040
word:          rolled; TF: 0.000118; IDF: 0.441833; TF-IDF: 0.000052
word:          amazed; TF: 0.000157; IDF: 0.693147; TF-IDF: 0.000109
word:       affection; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:         receipt; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:           admit; TF: 0.000118; IDF: 0.441833; TF-IDF: 0.000052
word:         prevail; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:           fluid; TF: 0.000039; IDF: 1.540445; TF-IDF: 0.000060
word:        property; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:         denuded; TF: 0.000039; IDF: 1.540445; TF-IDF: 0.000060
word:            anna; TF: 0.000078; IDF: 1.252763; TF-IDF: 0.000098
word:          strong; TF: 0.000157; IDF: 0.154151; TF-IDF: 0.000024
word:      compressed; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:           table; TF: 0.000744; IDF: 0.154151; TF-IDF: 0.000115
word:         receive; TF: 0.000196; IDF: 0.074108; TF-IDF: 0.000015
word:          object; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:           drops; TF: 0.000078; IDF: 0.441833; TF-IDF: 0.000035
word:            upon; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:         watched; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:      remarkable; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:           drove; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:            pack; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:            year; TF: 0.000235; IDF: 0.074108; TF-IDF: 0.000017
word:       beginning; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:         harshly; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:        continue; TF: 0.000118; IDF: 0.336472; TF-IDF: 0.000040
word:        climbing; TF: 0.000039; IDF: 0.559616; TF-IDF: 0.000022
word:          rested; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:            page; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:          really; TF: 0.000901; IDF: 0.074108; TF-IDF: 0.000067
word:         limited; TF: 0.000196; IDF: 0.074108; TF-IDF: 0.000015
word:            paid; TF: 0.000274; IDF: 0.074108; TF-IDF: 0.000020
word:            pain; TF: 0.000431; IDF: 0.441833; TF-IDF: 0.000190
word:            pair; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:   uncomfortable; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:            echo; TF: 0.000039; IDF: 0.559616; TF-IDF: 0.000022
word:          gossip; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:          peeved; TF: 0.000039; IDF: 2.639057; TF-IDF: 0.000103
word:            pale; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:         hurried; TF: 0.000313; IDF: 0.154151; TF-IDF: 0.000048
word:            pane; TF: 0.000078; IDF: 0.847298; TF-IDF: 0.000066
word:     mississippi; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:         chewing; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
