TOP 5:
word:      consequent; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000014
word:         soldier; TF: 0.000021; IDF: 0.262364; TF-IDF: 0.000006
word:           slain; TF: 0.000021; IDF: 1.466337; TF-IDF: 0.000031
word:          potent; TF: 0.000014; IDF: 1.466337; TF-IDF: 0.000021
word:      devilishly; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:        accorded; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:       glutinous; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:           yield; TF: 0.000021; IDF: 0.367725; TF-IDF: 0.000008
word:           local; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000014
word:       donations; TF: 0.000106; IDF: 0.080043; TF-IDF: 0.000008
word:            airs; TF: 0.000014; IDF: 0.485508; TF-IDF: 0.000007
word:            airy; TF: 0.000035; IDF: 0.773190; TF-IDF: 0.000027
word:     alterations; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:         faintly; TF: 0.000028; IDF: 0.619039; TF-IDF: 0.000018
word:           slake; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:          united; TF: 0.000113; IDF: 0.080043; TF-IDF: 0.000009
word:      shopkeeper; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:      wretchedly; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:           farms; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:         eagerly; TF: 0.000007; IDF: 0.262364; TF-IDF: 0.000002
word:       breakfast; TF: 0.000120; IDF: 0.262364; TF-IDF: 0.000032
word:          lonely; TF: 0.000057; IDF: 0.367725; TF-IDF: 0.000021
word:      conditions; TF: 0.000007; IDF: 0.367725; TF-IDF: 0.000003
word:          recall; TF: 0.000078; IDF: 0.485508; TF-IDF: 0.000038
word:     overlooking; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:        inquired; TF: 0.000057; IDF: 0.262364; TF-IDF: 0.000015
word:       ominously; TF: 0.000014; IDF: 1.871802; TF-IDF: 0.000026
word:       reflected; TF: 0.000028; IDF: 0.619039; TF-IDF: 0.000018
word:          thrill; TF: 0.000014; IDF: 0.619039; TF-IDF: 0.000009
word:          vision; TF: 0.000021; IDF: 0.262364; TF-IDF: 0.000006
word:       absolving; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:      conception; TF: 0.000007; IDF: 0.619039; TF-IDF: 0.000004
word:    unfathomable; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:        clenched; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000022
word:        referred; TF: 0.000064; IDF: 0.619039; TF-IDF: 0.000039
word:        scarcity; TF: 0.000014; IDF: 0.619039; TF-IDF: 0.000009
word:          cheque; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word: straightforward; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:       delivered; TF: 0.000099; IDF: 0.773190; TF-IDF: 0.000077
word:       explosive; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:          faints; TF: 0.000014; IDF: 2.564949; TF-IDF: 0.000036
word:       statement; TF: 0.000014; IDF: 0.367725; TF-IDF: 0.000005
word:     ascertained; TF: 0.000021; IDF: 1.466337; TF-IDF: 0.000031
word:       practised; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000022
word:      sputtering; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:          relent; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:          riders; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:      newsletter; TF: 0.000007; IDF: 0.080043; TF-IDF: 0.000001
word:       corrupted; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
