TOP 5:
word:         renamed; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        included; TF: 0.000036; IDF: 0.000000; TF-IDF: 0.000000
word:           erect; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        includes; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           birth; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:          rubbed; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       demeanour; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       ourselves; TF: 0.000132; IDF: 0.693147; TF-IDF: 0.000091
word:           prate; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         puzzled; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:          period; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       hesitated; TF: 0.000120; IDF: 0.693147; TF-IDF: 0.000083
word:          untrue; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       depresses; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         lodging; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:        geniuses; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         bounded; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         adopted; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          demand; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:           raise; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:        examined; TF: 0.000096; IDF: 0.693147; TF-IDF: 0.000066
word:      decoration; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:         protect; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         charles; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:           wrung; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       chocolate; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          bezoar; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       commonest; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         seizing; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          surely; TF: 0.000156; IDF: 0.693147; TF-IDF: 0.000108
word:         falling; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       preceding; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          mirror; TF: 0.000084; IDF: 0.693147; TF-IDF: 0.000058
word:         protege; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:      laboratory; TF: 0.000108; IDF: 0.693147; TF-IDF: 0.000075
word:      obsequious; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           board; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         rickety; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:      decorative; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:     winckelmann; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:    transparency; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        wardrobe; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           gamme; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      iridescent; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:        dramatic; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:          lesson; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:      invariably; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          ethics; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      frontleted; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           pause; TF: 0.000084; IDF: 0.693147; TF-IDF: 0.000058
word:        strength; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      abstracted; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         enslave; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       somewhere; TF: 0.000096; IDF: 0.693147; TF-IDF: 0.000066
word:          jermyn; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        tartuffe; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         shrieks; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      monotonous; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:        provoked; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:     incoherence; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         parched; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:     incarnation; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            html; TF: 0.000024; IDF: 0.000000; TF-IDF: 0.000000
word:           sadly; TF: 0.000060; IDF: 0.693147; TF-IDF: 0.000042
word:       flattered; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:     stateliness; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           rules; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:        complete; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:          sleeve; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       lohengrin; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:        vermouth; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:    incorrigible; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       distorted; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:           torch; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       chiselled; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:         marbles; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:        cordelia; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         opinion; TF: 0.000060; IDF: 0.693147; TF-IDF: 0.000042
word:     preparation; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          pepper; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           about; TF: 0.002767; IDF: 0.693147; TF-IDF: 0.001918
word:           above; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:        gardener; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:          daubed; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            http; TF: 0.000096; IDF: 0.693147; TF-IDF: 0.000066
word:         impulse; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:          peered; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:    convulsively; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       specimens; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:         bravest; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         figured; TF: 0.000072; IDF: 0.693147; TF-IDF: 0.000050
word:         insists; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         figures; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:            lido; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         feather; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            lids; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:          entire; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:          poetry; TF: 0.000072; IDF: 0.693147; TF-IDF: 0.000050
word:           paved; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:           paven; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       unselfish; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:            lies; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            lieu; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         charmed; TF: 0.000108; IDF: 0.693147; TF-IDF: 0.000075
word:            life; TF: 0.002779; IDF: 0.693147; TF-IDF: 0.001926
word:         exhaust; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        bewilder; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         vanilla; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:            lift; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      gauntleted; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        warnings; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:    unreasonable; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            joan; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           never; TF: 0.002156; IDF: 0.693147; TF-IDF: 0.001494
word:          entity; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:          precis; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            cell; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:           lived; TF: 0.000144; IDF: 0.693147; TF-IDF: 0.000100
word:       appetites; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          hoxton; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           lives; TF: 0.000287; IDF: 0.693147; TF-IDF: 0.000199
word:           fatal; TF: 0.000120; IDF: 0.693147; TF-IDF: 0.000083
word:        glancing; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:            yard; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       tightened; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            cent; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:            like; TF: 0.002551; IDF: 0.693147; TF-IDF: 0.001768
word:       flamelike; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        scandals; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:            lily; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      ruisselant; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         replace; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      celebrated; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         uttered; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         deserve; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        insanity; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
