TOP 5:
word:        buckshot; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:        guidance; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:         falling; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000006
word:         economy; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:         disturb; TF: 0.000025; IDF: 0.485508; TF-IDF: 0.000012
word:      crawfished; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          biting; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:          sweaty; TF: 0.000017; IDF: 1.871802; TF-IDF: 0.000031
word:        daybreak; TF: 0.000041; IDF: 0.955511; TF-IDF: 0.000040
word:     illustrious; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:         average; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000026
word:           board; TF: 0.000058; IDF: 0.485508; TF-IDF: 0.000028
word:       impatient; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:        wardrobe; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:          prance; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:           boats; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000049
word:          cretur; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:         fixings; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:           pause; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:        strength; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:          lolled; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:       somewhere; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:          sleepy; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000021
word:    presbyterian; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:   missionarying; TF: 0.000017; IDF: 1.871802; TF-IDF: 0.000031
word:           rules; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:         majesty; TF: 0.000075; IDF: 0.773190; TF-IDF: 0.000058
word:        complete; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000006
word:          sleeve; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:          waking; TF: 0.000017; IDF: 0.619039; TF-IDF: 0.000010
word:         opinion; TF: 0.000041; IDF: 0.080043; TF-IDF: 0.000003
word:         outrage; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:         brewing; TF: 0.000025; IDF: 1.871802; TF-IDF: 0.000046
word:           about; TF: 0.003552; IDF: 0.080043; TF-IDF: 0.000284
word:           above; TF: 0.000157; IDF: 0.080043; TF-IDF: 0.000013
word:         towhead; TF: 0.000132; IDF: 1.871802; TF-IDF: 0.000248
word:      cavortings; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:            http; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:      dictionary; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:   companionship; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:       anywheres; TF: 0.000050; IDF: 2.564949; TF-IDF: 0.000127
