TOP 5:
word:            pace; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:            pack; TF: 0.000164; IDF: 0.485508; TF-IDF: 0.000080
word:            year; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:       beginning; TF: 0.000493; IDF: 0.080043; TF-IDF: 0.000039
word:           crust; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:            page; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:          really; TF: 0.000427; IDF: 0.080043; TF-IDF: 0.000034
word:         limited; TF: 0.000164; IDF: 0.080043; TF-IDF: 0.000013
word:            paid; TF: 0.000197; IDF: 0.080043; TF-IDF: 0.000016
word:         belongs; TF: 0.000066; IDF: 0.262364; TF-IDF: 0.000017
word:            pair; TF: 0.000164; IDF: 0.167054; TF-IDF: 0.000027
word:   uncomfortable; TF: 0.000131; IDF: 0.262364; TF-IDF: 0.000035
word:   uncomfortably; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:            pale; TF: 0.000131; IDF: 0.262364; TF-IDF: 0.000035
word:         hurried; TF: 0.000362; IDF: 0.167054; TF-IDF: 0.000060
word:        sluggard; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:       introduce; TF: 0.000066; IDF: 0.262364; TF-IDF: 0.000017
word:     mississippi; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:            yelp; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:            part; TF: 0.000197; IDF: 0.080043; TF-IDF: 0.000016
word:            pass; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000005
word:            past; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:         putting; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:         curving; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:         between; TF: 0.000197; IDF: 0.080043; TF-IDF: 0.000016
word:            swam; TF: 0.000164; IDF: 1.466337; TF-IDF: 0.000241
word:            paws; TF: 0.000131; IDF: 1.178655; TF-IDF: 0.000155
word:       extremely; TF: 0.000066; IDF: 0.262364; TF-IDF: 0.000017
word:          supple; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:           sweet; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:           snail; TF: 0.000099; IDF: 1.178655; TF-IDF: 0.000116
word:          throat; TF: 0.000066; IDF: 0.262364; TF-IDF: 0.000017
word:          calmly; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:   circumstances; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000005
word:          guinea; TF: 0.000197; IDF: 0.773190; TF-IDF: 0.000153
word:            city; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:            swim; TF: 0.000164; IDF: 0.773190; TF-IDF: 0.000127
word:          middle; TF: 0.000263; IDF: 0.080043; TF-IDF: 0.000021
